coicop_code,susenas_code,susenas_item,food_group,source,source_codes,energy,protein,fat,dha_epa,carbohydrate,fiber,ash,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,calcium,copper,iron,phosphorus,potassium,sodium,zinc,bdd
01.1.3.1.020,32,Gurame,IKAN,afcd,,112.5,13.9,7.1,0.49503,0.15,0,1.2,109.5,74,0.055,150,7.42,1,71,0.085,0.65,124,219.5,69,0.68,51.7067264573991
01.1.3.1,33,Ikan segar/basah lainnya,IKAN,afcd,,104,18.1,2.27,0.49503,0.1,0,1.3,10,0,0.09,120,7.42,1,37.89,0.08,1,225,370,75.1,1,51.7067264573991
01.1.3.2.004,34,"Udang, lobster",IKAN,afcd,,87,19.8,0.9,0.17,0.4,0,1.8,7,7,0.04,70,7.3,0.9,74,0.67,1.2,229,297.5,268,2.01,56.99999999999999
01.1.3.2.001/6,35,"Cumi-cumi, sotong, gurita",IKAN,afcd,,83,14.41,0.92,0.37,0.759,0,1.4,15,0,0.05,90,7.9,2.05,21,0.68,0.9,235,300,230.8015,1.95,19.2861878453039
01.1.3.2.007/2/8,36,"Ketam, kepiting, rajungan",IKAN,afcd,,86,19.8,0.795,0.245,0.4,0,2.025,58,7,0.04,120,7.8,0.9,120,0.6,0.72,226,264,293,2.375,56.99999999999999
01.1.3.2.003/10/12,37,"Kerang, siput, bekicot, remis",IKAN,afcd,,70,19.6,1.28,0.21,3.7,0,2.205,12,20.5,0.04,175,4.3,2,74,0.342,5.1,159,210,384.52775,2.0945,19.11
01.1.3.2,38,Udang dan hewan air lainnya yang segar lainnya,IKAN,afcd,,87,19.8,0.9,0.17,0.4,0,1.8,7,7,0.04,70,7.3,0.9,76,0.67,1.2,233.25,299.5,269,2.005,56.22222222222219
01.1.3.3.021/26/37,39,Kembung diawetkan/peda,IKAN,afcd,,83.42,19.85,2.4,20.1124,0.056,0,1.3,16.5,0,0.115,135,14.27,0.65,1170.89,0.194,3.665,86.91,1203.61,70.005,2.32,51.7067264573991
01.1.3.3.031,40,Tenggiri diawetkan,IKAN,afcd,,120,19.6,4.6,0.893715,0,0,1.5,12,0,0.08,90,12,0,18.35,0.0313,0.65,231.6,373.5,51.6,0.78,51.7067264573991
01.1.3.3.033/34/08,41,"Tongkol, tuna, cakalang, dencis, ikan kayu diawetkan",IKAN,afcd,,146,19.85,1.78,20.1124,0.112,0,1.35,16.5,0,0.115,135,14.27,0.65,17,0.1,1.65,259.5,403.96985,49,1.09,51.7067264573991
01.1.3.3.032,42,Teri diawetkan,IKAN,afcd,,87.41,2.367,2.055,0.9589,0.1985,0,1.31,24,0,0.04,150,11,0.5,715.48,1,2.8,312.035,2218,244,12.989,51.7067264573991
01.1.3.3.029,43,Selar diawetkan,IKAN,afcd,,124.5,19.23,4.66,1.02,0.1,0,1.42,7,0,0.13,160,7.8,0.5,37,0.105,1.1,249.93195,397.5813,66,1.29,51.7067264573991
01.1.3.3.036,44,Sepat diawetkan,IKAN,afcd,,112.5,13.9,7.1,0.49503,0.15,0,1.2,109.5,74,0.055,150,7.42,1,71,0.085,0.65,124,219.5,69,0.68,51.7067264573991
01.1.3.3.002/3/4,45,Bandeng diawetkan,IKAN,afcd,,104,2.067,10.7,0.39767,0.314,0,2,0,0,0.09,130,7.69,0,19,0.083,0.4,350,347,84,0.8825,61
01.1.3.3.011,46,Gabus diawetkan,IKAN,afcd,,86,13.9,5.7,0.49503,0.3,0,1.25,10,74,0.08,120,7.42,1,29,0.13,0.64,124,219.5,34.6,0.51,51.7067264573991
01.1.3.4.001,47,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",IKAN,afcd,,104,18.1,2.27,0.49503,0.1,0,1.3,10,0,0.09,120,7.42,1,37.89,0.08,1,225,370,75.1,1,51.7067264573991
01.1.3.3,48,Ikan diawetkan lainnya,IKAN,afcd,,104,18.1,2.27,0.49503,0.1,0,1.3,10,0,0.09,120,7.42,1,37.89,0.08,1,225,370,75.1,1,51.7067264573991
01.1.3.3.035,49,"Udang diawetkan (ebi, rebon)",IKAN,afcd,,62,19.8,1.2,0.17,2.6,0,21.7,3,0,0.09,120,7.3,2,695,0.67,0.7,216,320,360,2.01,56.99999999999999
01.1.3.3.009,50,"Cumi-cumi, sotong, gurita diawetkan",IKAN,afcd,,83,14.41,0.92,0.37,0.759,0,1.4,15,0,0.05,90,7.9,2.05,21,0.68,0.9,235,300,230.8015,1.95,19.2861878453039
01.1.3.3,51,Udang dan hewan air lainnya yang diawetkan lainnya,IKAN,afcd,,87,19.8,0.9,0.17,0.4,0,1.8,7,7,0.04,70,7.3,0.9,76,0.67,1.2,233.25,299.5,269,2.005,56.22222222222219
,52,DAGING,DAGING,food_category,,,,,,,,,,,,,,,,,,,,,,0
01.1.2.1.001,53,Daging sapi,DAGING,tkpi,FR001; FR002; FR003; FR025; FR026,184.6,19.18,12,0,0,0,2.02,9,105.8,0.1,0.30600000000000005,4.22,0,10.8,1.02,2.74,189,433.92,100.2,3.78,100
01.1.2.3.001,54,"Daging kambing, domba/biri-biri",DAGING,tkpi,FR016; FR017; FR019,222.66666666666663,16.46666666666667,17.233333333333334,0,0,0,2.1666666666666665,0,0,0.12666666666666668,0.24,5.733333333333333,0,10,0.16666666666666666,2,157.33333333333334,288.6,83.33333333333333,3.8,100
01.1.2.2.001,55,Daging babi,DAGING,tkpi,FR008; FR009,412,13,40,0,0,0,1,0,0,0.625,0.46,5.65,0,7.5,0.205,1.95,134,762.8,104.5,0.4,100
01.1.2.4.003,56,Daging ayam ras,DAGING,tkpi,FR005,298,18.2,25,0,0,0,0.9,245,0,0.08,0.14,10.4,0,14,0.11,1.5,200,385.9,109,0.6,58
01.1.2.4.002,57,Daging ayam kampung,DAGING,tkpi,FR005,298,18.2,25,0,0,0,0.9,245,0,0.08,0.14,10.4,0,14,0.11,1.5,200,385.9,109,0.6,58
