coicop_code,susenas_code,susenas_item,food_group,source,source_codes,energy,protein,fat,carbohydrate,fiber,ash,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,calcium,copper,iron,phosphorus,potassium,sodium,zinc,bdd,water,total_carotene,enerct_kj,sum_of_proximates_g,oth_car_mcg,va_rae_mcg,vit_b6_mg,folate_mg,vit_b12_mg,vit_d_mg
01.1.2.1/22/23/24,58,Daging segar lainnya,DAGING,tkpi,FR004; FR012; FR013; FR014; FR020; FR021; FR022; FR034,209.875,15.424999999999999,15.675,1.65,0.3499999999999999,1.0125,136.5,0,0.1675,0.305,4.13875,0,13.625,0.5185714285714286,3.1875,206.5,254,77.125,2.6142857142857143,90,66.2375,0,,,,,,,,
01.1.2.5,59,Daging diawetkan lainnya,DAGING,tkpi,FP004; FP005; FP006; FP008; FP010; FP011; FP012; FP014; FP018,370.44444444444446,37.55555555555556,17.61111111111111,21.033333333333335,3.333333333333333,5.611111111111111,929.4285714285713,92,0.275,0.95,3.3666666666666667,0,91.22222222222223,0.7016666666666667,9.766666666666667,331.55555555555554,802.2166666666667,678.5,5.383333333333333,100,18.46666666666667,141,,,,,,,,
01.1.2.1.005,60,"Tetelan, sandung lamur",DAGING,tkpi,FR024,273,17.5,22,0,0,0.5,12,0,0.08,0.18,7.3,0,10,0.17,2.6,150,267,93,6.4,100,60,,,,,,,,,
01.1.2.7,61,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",DAGING,tkpi,FR006; FR007; FR010; FR011; FR018; FR023; FR027; FR028; FR029; FR030; FR031; FR032; FR033,128.15384615384616,16.53076923076923,6.315384615384615,1.276923076923077,0,1.3384615384615384,2020.5,169.91666666666666,0.2815384615384615,1.1083333333333334,4.608461538461539,10.09090909090909,22.692307692307693,0.4211111111111111,6.199999999999999,211.6153846153846,233.85833333333335,239.83333333333331,1.3800000000000001,100,74.53846153846153,28000,,,,,,,,
,62,TELUR DAN SUSU,TELUR DAN SUSU,food_category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.1.4.7.002,63,Telur ayam ras,TELUR DAN SUSU,tkpi,HR002,154,12.4,10.8,0.7,0,0.8,61,22,0.12,0.38,0.2,0,86,0.16,3,258,118.5,142,1,89,74.3,104,,,,,,,,
01.1.4.7.001,64,Telur ayam kampung,TELUR DAN SUSU,tkpi,HR001,174,10.8,14,1.2,0,0.9,203,23,0.78,0.62,0.2,,68,0.6,4.9,268,141,190,1.5,87,73.1,125,,,,,,,,
01.1.4.7.003,65,Telur itik/telur itik manila,TELUR DAN SUSU,tkpi,HR005; HR008,187,11.350000000000001,13.3,5.45,0,1.05,279,454,1.585,0.2,0.1,,62,0.5,5.7,281.5,113,162,1.75,90,68.85,375,,,,,,,,
01.1.4.7.005/11111003/01147004,66,"Telur lainnya (telur puyuh, telur asin mentah maupun matang, telur penyu, telur angsa, dsb)",TELUR DAN SUSU,tkpi,HP002; HR009; HR010; HR011,216.75,14.85,16.675,2.2750000000000004,0,1.2750000000000001,1104.25,36.666666666666664,0.20666666666666667,0.6625,0.225,0,101.25,0.31666666666666665,3.25,187.5,149.775,287.25,1.8333333333333333,91,64.925,,,,,,,,,
01.1.4.3.003,67,Susu cair pabrik,TELUR DAN SUSU,tkpi,JR006,61,3.2,3.5,4.3,0,0.7,39,12,0.03,0.18,0.2,1,143,0.02,1.7,60,149,36,0.3,100,88.3,,,,,,,,,
