food_item_id_urut,n_records,median_g_day,max_g_day,n_implausible_volume,median_r_protein,median_r_energy,suspect_misclassification,n_implausible_fct,implausible_nutrient,value,median_across_items
131,1172,2.142857142857143,94.28571428571429,9,0.40650406504065034,3.488372093023256,TRUE,2,potassium,3256,248.25
131,1172,2.142857142857143,94.28571428571429,9,0.40650406504065034,3.488372093023256,TRUE,2,niacin,30.6,1.6
116,342,47.61904761904761,297.61904761904765,0,0.46296296296296297,1.4603174603174605,TRUE,2,beta_carotene,519,22.625
116,342,47.61904761904761,297.61904761904765,0,0.46296296296296297,1.4603174603174605,TRUE,2,vitamin_c,81.5,1
170,385,3.8095238095238098,51.42857142857143,7,4.8853967702726155,4.317851959361396,TRUE,1,sodium,697.555555555556,60
168,1383,7.142857142857143,95.23809523809523,5,3.6330578512396667,1.08023643528342,TRUE,1,beta_carotene,233.75,22.625
158,342,19.047619047619047,628.5714285714286,1,0.49999999999999994,0.5,TRUE,1,total_carotene,3182,303.77450980392155
113,190,35.714285714285715,142.85714285714286,0,1.0549450549450547,2.31643941342938,TRUE,1,vitamin_c,17,1
142,137,3.2142857142857144,28.571428571428573,0,0.4210526315789474,0.5122702248763646,TRUE,1,vitamin_c,24,1
148,251,7.142857142857143,71.42857142857143,0,0.3292121212121208,1.000315457413249,TRUE,1,sodium,858.25,60
171,279,7.142857142857143,57.142857142857146,0,1.8768577494692145,3.799944118468846,TRUE,1,sodium,958.25,60
169,422,5.714285714285714,125.71428571428571,20,9.41579337054335,7.333466693338672,TRUE,0,NA,NA,NA
161,432,14.285714285714286,300,15,1.54,2.1755555555555555,TRUE,0,NA,NA,NA
179,930,25.714285714285715,720,15,0.5916346687838968,0.3628427393338617,TRUE,0,NA,NA,NA
15,143,35.714285714285715,714.2857142857143,4,0.9112917762493414,2.2726348268411387,TRUE,0,NA,NA,NA
42,516,4.7023809523809526,71.42857142857143,3,2.6650232812927968,NA,TRUE,0,NA,NA,NA
48,166,5.869047619047619,238.0952380952381,3,2.3217355314177834,NA,TRUE,0,NA,NA,NA
20,843,35.714285714285715,385.7142857142857,2,0.4572823344508758,NA,TRUE,0,NA,NA,NA
