"","coicop_code","susenas_code","susenas_item","food_group","food_name","habitat","method","food_prep","sciname","taxonomic_level","species","genus","family","order","class","phylum","kingdom","energy","protein","fat","dha_epa","carbohydrate","fiber","ash","retinol","beta_carotene","thiamin","riboflavin","niacin","vitamin_c","calcium","copper","iron","phosphorus","potassium","sodium","zinc","bdd"
"13","01.1.3.1.041/46",26,"Mas, nila","IKAN","Mas","Inland","Aquaculture","Raw","cyprinus carpio","","cyprinus carpio","cyprinus","cyprinidae","cypriniformes","actinopterygii","chordata","animalia",117,17.56,5.165,0.78,0.15,0,2.57,9,0,0.2,120,5,0.5,37.835,0.08,0.929,224.93,349.17,61.25,2.244,0.54
"14","01.1.3.1.041/46",26,"Mas, nila","IKAN","Nila","Inland","Aquaculture","Raw","cichlidae","family",NA,NA,"cichlidae","cichliformes","actinopterygii","chordata","animalia",93,1.6445,1.8,0.16,0,0,1.2,1,0,0.04,70,6.9,0.5,19,0.0658,0.891,230,336,60,0.6355,0.37
"15","01.1.3.1.035",27,"Lele","IKAN","Lele","Inland","Aquaculture","Raw","siluriformes","order",NA,NA,NA,"siluriformes","actinopterygii","chordata","animalia",103,15.8,3.24,0.41,0,0,1.085,8.5,26,0.07,70,6,0.3,26.5,0.1,1.2,190,297,82.5,0.86,0.5305
"16","01.1.3.1.023/24",28,"Kakap","IKAN","Kakap","Marine","Capture","Raw","lutjanus","genus",NA,"lutjanus","lutjanidae","eupercaria","actinopterygii","chordata","animalia",106.98,11.0815,1.74,10.65744,0.045,0,1.38,9.5,0,0.11,130,8,1,721.1,0.0805,0.78,224.83,350,37,1.205,0.5305
"17","01.1.3.1.004",29,"Baronang","IKAN","Baronang","Marine","Capture","Raw","siganus","genus",NA,"siganus","siganidae","acanthuriformes","actinopterygii","chordata","animalia",97,11.041,1.285,0.1055,0.2055,0,1.345,6,0,0.05,100,7.42,1,45.306,0.0665,0.912,174,381.6992,72.0778,1.07,0.517067264573991
"18","01.1.3.1.051",30,"Patin","IKAN","Patin","Inland","Aquaculture","Raw","pangasius hypophthalmus","","pangasius hypophthalmus","pangasius","pangasiidae","siluriformes","actinopterygii","chordata","animalia",162,15.8,1.66,0.07,0,0,1,5,0,0.15,60,6,0.3,14,0.07,0.1,130,169,46,1.85,0.5305
"19","01.1.3.1.006",31,"Bawal","IKAN","Bawal","Inland","Aquaculture","Raw","colossoma macropomum","","colossoma macropomum","colossoma","serrasalmidae","characiformes","actinopterygii","chordata","animalia",151.4,18.1,5.8,9.39,0,0,3.1,10,0,0.09,120,7.42,1,60.81,0.15,2.4,269.52,97.84,75.1,0.7,0.517067264573991
"20","01.1.3.1.020",32,"Gurame","IKAN","Gurame","Inland","Aquaculture","Raw","osphronemus goramy","","osphronemus goramy","osphronemus","osphronemidae","anabantiformes","actinopterygii","chordata","animalia",112.5,13.9,7.1,0.49503,0.15,0,1.2,109.5,74,0.055,150,7.42,1,71,0.085,0.65,124,219.5,69,0.68,0.517067264573991
"21","01.1.3.1",33,"Ikan segar/basah lainnya","IKAN","Ikan segar/basah lainnya","Inland; marine","Aquaculture; capture","Raw","actinopterygii","gigaclass",NA,NA,NA,NA,"actinopterygii","chordata","animalia",104,18.1,2.27,0.49503,0.1,0,1.3,10,0,0.09,120,7.42,1,37.89,0.08,1,225,370,75.1,1,0.517067264573991
"22","01.1.3.2.004",34,"Udang, lobster","IKAN","Udang, lobster","Inland; marine","Aquaculture; capture","Raw","decapoda","order",NA,NA,NA,"decapoda","malacostraca","arthropoda","animalia",87,19.8,0.9,0.17,0.4,0,1.8,7,7,0.04,70,7.3,0.9,74,0.67,1.2,229,297.5,268,2.01,0.57
"23","01.1.3.2.001/6",35,"Cumi-cumi, sotong, gurita","IKAN","Cumi-cumi, sotong, gurita","Marine","Capture","Raw","cephalopoda","subclass",NA,NA,NA,NA,"cephalopoda","mollusca","animalia",83,14.41,0.92,0.37,0.759,0,1.4,15,0,0.05,90,7.9,2.05,21,0.68,0.9,235,300,230.8015,1.95,0.192861878453039
"24","01.1.3.2.007/2/8",36,"Ketam, kepiting, rajungan","IKAN","Ketam, kepiting, rajungan","Inland; marine","Aquaculture; capture","Raw","portunidae","family",NA,NA,"portunidae","decapoda","malacostraca","arthropoda","animalia",86,19.8,0.795,0.245,0.4,0,2.025,58,7,0.04,120,7.8,0.9,120,0.6,0.72,226,264,293,2.375,0.57
"25","01.1.3.2.003/10/12",37,"Kerang, siput, bekicot, remis","IKAN","Kerang, siput, bekicot, remis","Inland; marine","Aquaculture; capture","Raw","bivalvia","subclass",NA,NA,NA,NA,"bivalvia","mollusca","animalia",70,19.6,1.28,0.21,3.7,0,2.205,12,20.5,0.04,175,4.3,2,74,0.342,5.1,159,210,384.52775,2.0945,0.1911
"26","01.1.3.2",38,"Udang dan hewan air lainnya yang segar lainnya","IKAN","Udang dan hewan air lainnya yang segar lainnya","Inland; marine","Aquaculture; capture","Raw","arthropoda","",NA,NA,NA,NA,NA,"arthropoda","animalia",87,19.8,0.9,0.17,0.4,0,1.8,7,7,0.04,70,7.3,0.9,76,0.67,1.2,233.25,299.5,269,2.005,0.562222222222222
"27","01.1.3.3.021/26/37",39,"Kembung diawetkan/peda","IKAN","Kembung diawetkan/peda","Preserved","Capture","Dried; salted","rastrelliger","genus",NA,"rastrelliger","scombridae","scombriformes","actinopterygii","chordata","animalia",83.42,19.85,2.4,20.1124,0.056,0,1.3,16.5,0,0.115,135,14.27,0.65,1170.89,0.194,3.665,86.91,1203.61,70.005,2.32,0.517067264573991
"28","01.1.3.3.031",40,"Tenggiri diawetkan","IKAN","Tenggiri diawetkan","Preserved","Capture","Dried; salted; smoked","scomberomorus","genus",NA,"scomberomorus","scombridae","scombriformes","actinopterygii","chordata","animalia",120,19.6,4.6,0.893715,0,0,1.5,12,0,0.08,90,12,0,18.35,0.0313,0.65,231.6,373.5,51.6,0.78,0.517067264573991
"29","01.1.3.3.033/34/08",41,"Tongkol, tuna, cakalang, dencis, ikan kayu diawetkan","IKAN","Tongkol/tuna/cakalang diawetkan","Preserved","Capture","Dried; salted; smoked","scombridae","subfamily",NA,NA,"scombridae","scombriformes","actinopterygii","chordata","animalia",146,19.85,1.78,20.1124,0.112,0,1.35,16.5,0,0.115,135,14.27,0.65,17,0.1,1.65,259.5,403.96985,49,1.09,0.517067264573991
"30","01.1.3.3.032",42,"Teri diawetkan","IKAN","Teri diawetkan","Preserved","Capture","Dried; salted","stolephorus","genus",NA,"stolephorus","engraulidae","clupeiformes","actinopterygii","chordata","animalia",87.41,2.367,2.055,0.9589,0.1985,0,1.31,24,0,0.04,150,11,0.5,715.48,1,2.8,312.035,2218,244,12.989,0.517067264573991
"31","01.1.3.3.029",43,"Selar diawetkan","IKAN","Selar diawetkan","Preserved","Capture","Dried; salted","carangidae","family",NA,NA,"carangidae","carangiformes","actinopterygii","chordata","animalia",124.5,19.23,4.66,1.02,0.1,0,1.42,7,0,0.13,160,7.8,0.5,37,0.105,1.1,249.93195,397.5813,66,1.29,0.517067264573991
"32","01.1.3.3.036",44,"Sepat diawetkan","IKAN","Sepat diawetkan","Preserved","Aquaculture","Dried; salted","trichopodus","genus",NA,"trichopodus","osphronemidae","anabantiformes","actinopterygii","chordata","animalia",112.5,13.9,7.1,0.49503,0.15,0,1.2,109.5,74,0.055,150,7.42,1,71,0.085,0.65,124,219.5,69,0.68,0.517067264573991
"33","01.1.3.3.002/3/4",45,"Bandeng diawetkan","IKAN","Bandeng diawetkan","Preserved","Aquaculture","Smoked","chanos chanos","","chanos chanos","chanos","chanidae","gonorynchiformes","actinopterygii","chordata","animalia",104,2.067,10.7,0.39767,0.314,0,2,0,0,0.09,130,7.69,0,19,0.083,0.4,350,347,84,0.8825,0.61
"34","01.1.3.3.011",46,"Gabus diawetkan","IKAN","Gabus diawetkan","Preserved","Aquaculture; capture","Dried; salted","channa striata","","channa striata","channa","channidae","anabantiformes","actinopterygii","chordata","animalia",86,13.9,5.7,0.49503,0.3,0,1.25,10,74,0.08,120,7.42,1,29,0.13,0.64,124,219.5,34.6,0.51,0.517067264573991
"35","01.1.3.4.001",47,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)","IKAN","Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)","Preserved","Capture","Canned","actinopterygii","gigaclass",NA,NA,NA,NA,"actinopterygii","chordata","animalia",104,18.1,2.27,0.49503,0.1,0,1.3,10,0,0.09,120,7.42,1,37.89,0.08,1,225,370,75.1,1,0.517067264573991
"36","01.1.3.3",48,"Ikan diawetkan lainnya","IKAN","Ikan diawetkan lainnya","Preserved","Aquaculture; capture","Dried; salted; smoked","actinopterygii","gigaclass",NA,NA,NA,NA,"actinopterygii","chordata","animalia",104,18.1,2.27,0.49503,0.1,0,1.3,10,0,0.09,120,7.42,1,37.89,0.08,1,225,370,75.1,1,0.517067264573991
"37","01.1.3.3.035",49,"Udang diawetkan (ebi, rebon)","IKAN","Udang diawetkan (ebi, rebon)","Preserved","Aquaculture; capture","Dried; salted","acetes","genus",NA,"acetes","sergestidae","decapoda","malacostraca","arthropoda","animalia",62,19.8,1.2,0.17,2.6,0,21.7,3,0,0.09,120,7.3,2,695,0.67,0.7,216,320,360,2.01,0.57
"38","01.1.3.3.009",50,"Cumi-cumi, sotong, gurita diawetkan","IKAN","Cumi-cumi, sotong, gurita diawetkan","Preserved","Capture","Dried; salted; smoked","cephalopoda","subclass",NA,NA,NA,NA,"cephalopoda","mollusca","animalia",83,14.41,0.92,0.37,0.759,0,1.4,15,0,0.05,90,7.9,2.05,21,0.68,0.9,235,300,230.8015,1.95,0.192861878453039
"39","01.1.3.3",51,"Udang dan hewan air lainnya yang diawetkan lainnya","IKAN","Udang dan hewan air lainnya yang diawetkan","Preserved","Aquaculture; capture","Dried; salted; smoked","arthropoda","",NA,NA,NA,NA,NA,"arthropoda","animalia",87,19.8,0.9,0.17,0.4,0,1.8,7,7,0.04,70,7.3,0.9,76,0.67,1.2,233.25,299.5,269,2.005,0.562222222222222
