year,province,district,fish_group,species,sector,volume_ton,value_rp_million,price_rp_kg
2020,MALUKU UTARA,HALMAHERA UTARA,BARONANG,BARONANG,LAUT,759.83,18996,25000
2020,MALUKU UTARA,KEPULAUAN SULA,BIJI NANGKA,KUNIRAN; BIJI NANGKA,LAUT,750.38,17822,23750
2020,MALUKU UTARA,HALMAHERA TIMUR,KERAPU,KERAPU MERAH BINTIK BIRU,LAUT,736.98,25794,35000
2020,MALUKU UTARA,KOTA TERNATE,TONGKOL,TONGKOL ABU-ABU,LAUT,735.11,14106,19189
2020,MALUKU UTARA,HALMAHERA TENGAH,KERAPU,KERAPU KARANG,LAUT,734.09,23858,32500
2020,MALUKU UTARA,HALMAHERA SELATAN,BARONANG,BARONANG,LAUT,726.86,18113,24919
2020,MALUKU UTARA,PULAU MOROTAI,CAKALANG,CAKALANG,LAUT,723.92,14478,20000
2020,MALUKU UTARA,HALMAHERA TENGAH,BIJI NANGKA,KUNIRAN; BIJI NANGKA,LAUT,718.26,17238,24000
2020,MALUKU UTARA,HALMAHERA TENGAH,TONGKOL,TONGKOL KOMO,LAUT,694.36,13887,20000
2020,MALUKU UTARA,HALMAHERA UTARA,SELAR,SELAR BENTONG,LAUT,668.39,13368,20000
2020,MALUKU UTARA,HALMAHERA SELATAN,KAKATUA,KAKATUA BIRU,LAUT,659.81,13290,20142
2020,MALUKU UTARA,KOTA TERNATE,BIJI NANGKA,KUNIRAN; BIJI NANGKA,LAUT,656.67,13211,20118
2020,MALUKU UTARA,KEPULAUAN SULA,LAYANG,LAYANG BIRU,LAUT,646.3,12926,20000
2020,MALUKU UTARA,HALMAHERA TENGAH,KACI-KACI,KAKAP PUTIH,LAUT,641.14,12823,20000
2020,MALUKU UTARA,KEPULAUAN SULA,KAKAP,KAKAP MERAH,LAUT,638.09,15155,23750
2020,MALUKU UTARA,KEPULAUAN SULA,LENCAM,LENCAM,LAUT,605,15125,25000
2020,MALUKU UTARA,KOTA TERNATE,LAYANG,LAYANG,LAUT,597.13,7874,13186
2020,MALUKU UTARA,HALMAHERA TIMUR,KURISI,KURISI,LAUT,582.23,14556,25000
2020,MALUKU UTARA,HALMAHERA BARAT,LEMURU,TEMBANG,LAUT,576.46,5765,10000
2020,MALUKU UTARA,HALMAHERA BARAT,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,573.34,7167,12500
2020,MALUKU UTARA,HALMAHERA TENGAH,JULUNG-JULUNG,JULUNG-JULUNG,LAUT,569.49,11390,20000
2020,MALUKU UTARA,HALMAHERA TENGAH,LENCAM,LENCAM,LAUT,560.23,11205,20000
2020,MALUKU UTARA,HALMAHERA TENGAH,KURISI,KURISI,LAUT,559.86,11197,20000
2020,MALUKU UTARA,HALMAHERA TIMUR,BARONANG,BARONANG,LAUT,558.89,13972,25000
2020,MALUKU UTARA,HALMAHERA SELATAN,KUWE,KUWE SIRIP BIRU,LAUT,530.62,10628,20029
