aqua,hh_id,hh_id_data_link,iron_standardized_weekly_member_total,zinc_standardized_weekly_member_total,niacin_standardized_weekly_member_total,edible_weekly_member_total
nonaquatic,62580,313618,1.1072428689397937,0.9721001705132964,1.3818381696957274,9974.220000000001
nonaquatic,62611,309774,0.7298846047466607,0.661020493751147,0.5955554060229531,20014.365476190476
nonaquatic,62721,311799,0.5356219381054698,0.6366071391941395,0.5664982015339153,6025.25
nonaquatic,62823,312634,1.1465191848522356,1.490136266453547,1.3307849131420684,22966.574666666667
nonaquatic,62875,309226,0.7360830070124036,0.8392134423882369,0.8664105442253345,6310.126613756613
nonaquatic,62916,312090,1.4708639449376746,1.915137567222902,7.288991120471443,13153.30925925926
nonaquatic,62927,310255,1.1260728638121915,0.7473551522762952,7.087976984126983,26458.4
nonaquatic,63011,311825,0.5840872566537562,0.6325821747971327,0.6826236064132228,4792.833974358974
nonaquatic,63012,313172,0.5138796156240274,0.3970237614163614,2.569831617535902,4024.7222222222217
nonaquatic,63202,309458,1.0724350975994548,1.0447396766075026,8.818380474612606,9757.87382987383
nonaquatic,63398,311955,0.3151041888422037,0.33039935023310024,0.41092458191609926,3034.1833333333334
nonaquatic,63420,309419,0.7269649728349394,0.7154594756398366,0.9360844584268924,5571.005833333333
nonaquatic,63440,309360,0.4929588352007473,0.46479453333333337,1.1561351883632232,8613.305
nonaquatic,63549,310317,0.5194064923747279,0.41431691819291816,0.6905714474678754,10021.488888888889
nonaquatic,63645,310514,0.8858847929773758,0.7589181147564339,1.842139888056097,12055.600807217474
nonaquatic,63694,313644,0.6250745269922999,0.5667038082983683,0.6229582282237788,5138.465333333334
nonaquatic,63797,314183,0.9131779030345027,0.5822612020003389,0.9003204576401883,7466.6845868945875
nonaquatic,63933,311882,0.34540041549953326,0.2856406205128206,0.37699226757369575,3205.066666666666
nonaquatic,63971,313845,0.48835894732893165,0.41782310668498185,0.5660716624149654,4500.7125
nonaquatic,63976,310879,0.4425284611658565,0.5258408447519559,0.7440184158669749,4210.586419753086
nonaquatic,63977,310862,0.4678994690289889,0.44619688558208703,0.6529796055863775,4375.821489621489
nonaquatic,64016,309592,0.7583414392569522,0.564468505091254,0.8321236921039319,6627.239423076923
nonaquatic,64052,309699,1.3089623916233162,2.1126786551543706,1.083176558956916,18146
nonaquatic,64075,310706,0.5527659960363274,0.5359318341044921,0.6104029325852872,4532.897863247864
nonaquatic,64275,309775,0.5953873282646391,0.5618578771704488,0.7537951247165527,23257.233333333334
nonaquatic,64370,311437,0.4957640756326852,0.5103936181158022,0.6092358865116222,4799.4292022792015
nonaquatic,64651,310837,0.6711371304077188,0.626776166056166,0.8361045729402863,6317.2444444444445
nonaquatic,64907,313671,0.6426713352007472,0.5903074267066266,0.7249089909297043,18640.5
nonaquatic,65000,312615,0.4064258870214754,0.37587904761904767,0.5619545351473916,3987.05
nonaquatic,65005,312699,0.6008163632119515,0.4702360695970696,0.7365856575963718,6172.633333333333
nonaquatic,65020,311826,0.2570813040771865,0.2087163698079699,0.275313116539545,9677.133333333331
nonaquatic,65050,309700,1.2413861382320355,1.068366737694052,1.3095845942857838,18912.264444444445
nonaquatic,65124,313064,0.5179305833791275,0.4312501850072591,2.265012251652348,3879.1207570207566
nonaquatic,65230,310552,0.518199808006536,0.4489136151098903,4.313626251417233,5186.845833333333
nonaquatic,65260,312497,0.5654189388380073,0.48107169909852054,0.6197859203677302,6704
